Id,GP,G,A,P_M,PIM,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,TOI_GP,DOB,First_Season,Ht,Wt,DZ_FOL,DZ_FOW,EV_FOL,EV_FOW,FOL,FOW,NZ_FOL,NZ_FOW,OZ_FO,OZ_FOL,OZ_FOW,PP_FOL,PP_FOW,SH_FOL,SH_FOW,G_Msct,Major,Match,Minor,Msct,Net_Pen,Net_Pen_60,PIMGP,PIMTOIPct,Pen_Drawn,Pen_Drawn_60,Pen_Taken,Pen_Taken_60,Salary
96,68,8,12,-6,54,3,12,5,8,0,0,0,1,83,13.3333333333333,1988-06-07,20072008,75,231,2,5,24,20,26,20,9,3,27,15,12,2,0,0,0,0,4,0,12,1,-2,-0.13,0:47,6.0,15,0.99,17,1.13,270833.3333333333
97,68,0,8,1,13,0,7,0,1,0,0,0,0,61,17.8166666666667,1990-09-21,20162017,73,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,4,0.2,0:11,1.1,9,0.45,5,0.25,166666.66666666666
98,49,8,30,16,19,6,29,2,9,0,0,2,3,114,23.5,1991-01-03,20112012,70,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,4,0.21,0:23,1.7000000000000002,12,0.63,8,0.42,441666.6666666667
99,52,8,4,-1,36,8,11,0,1,0,0,0,0,82,12.5166666666667,1996-06-20,20142015,73,195,21,22,74,81,83,89,27,30,72,35,37,9,8,0,0,0,0,0,18,0,-9,-0.83,0:41,5.5,9,0.83,18,1.66,47629.833333333336
100,68,11,12,-19,57,11,23,0,0,0,0,0,1,141,13.2333333333333,1995-09-13,20152016,74,195,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,24,0,5,0.33,0:50,6.3,30,2.0,25,1.67,208333.33333333334
101,69,23,18,-6,34,15,30,4,7,4,4,2,5,175,17.7333333333333,1992-05-08,20142015,77,216,137,142,334,350,411,415,134,137,276,140,136,34,39,43,26,0,0,0,17,0,-7,-0.34,0:29,2.8,10,0.49,17,0.83,625000.0
102,21,1,2,-8,38,1,3,0,0,0,0,0,0,12,15.7,1996-10-30,20182019,74,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,-1,-0.18,1:48,11.5,8,1.46,9,1.64,77083.33333333333
103,28,1,7,-7,10,1,6,0,2,0,0,0,1,22,14.3166666666667,2000-03-07,20192020,71,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,-1,-0.15,0:21,2.5,4,0.6000000000000001,5,0.75,77083.33333333333
104,45,7,11,6,33,7,18,0,0,0,0,0,1,77,20.1166666666667,1994-01-07,20162017,72,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,-3,-0.2,0:44,3.7,9,0.6000000000000001,12,0.8,166666.66666666666
105,45,2,11,-2,22,2,11,0,0,0,2,0,1,44,11.2666666666667,1992-07-25,20142015,72,196,19,9,53,57,62,66,14,30,56,29,27,0,0,9,9,0,0,0,11,0,-6,-0.71,0:29,4.3,5,0.59,11,1.3,179166.66666666666
106,56,6,34,-15,16,4,26,1,13,1,1,0,0,120,24.5166666666667,1990-05-31,20092010,72,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0.09,0:17,1.2,10,0.44,8,0.35,1000000.0
107,70,17,26,1,14,11,34,6,9,0,0,2,3,142,18.9333333333333,1993-12-21,20172018,72,188,3,4,10,10,12,11,3,1,12,6,6,0,0,2,1,0,0,0,7,0,2,0.09,0:12,1.1,9,0.41,7,0.32,204166.66666666666
108,31,4,5,-5,2,3,7,1,2,0,0,0,1,34,12.7666666666667,1998-11-22,20172018,73,196,20,23,88,78,99,86,33,30,79,46,33,11,8,0,0,0,0,0,1,0,3,0.46,0:03,0.5,4,0.61,1,0.15,72843.75
109,59,3,13,9,20,3,16,0,0,0,0,0,1,99,21.05,1988-03-21,20072008,76,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,-8,-0.39,0:20,1.6,2,0.1,10,0.48,500000.0
110,71,12,17,4,12,11,27,1,2,0,0,0,0,117,14.9,1997-01-29,20162017,73,187,12,13,73,64,78,70,28,28,67,38,29,5,6,0,0,0,0,0,6,0,3,0.17,0:10,1.1,9,0.51,6,0.34,108333.33333333333
111,8,2,1,1,0,1,2,1,1,0,0,0,0,9,10.1833333333333,1992-12-12,20162017,69,175,1,0,2,2,4,2,0,0,5,3,2,2,0,0,0,0,0,0,0,0,1,0.74,0:00,0.0,1,0.74,0,0.0,58333.333333333336
112,71,38,35,4,34,28,54,9,17,1,2,1,7,239,21.0833333333333,1996-12-09,20162017,73,182,3,1,10,1,11,2,2,1,6,6,0,0,0,1,1,0,0,0,11,1,-1,-0.04,0:28,2.3,11,0.44,12,0.48,666666.6666666666
113,21,2,4,1,9,2,6,0,0,0,0,0,0,25,9.73333333333333,1997-01-13,20192020,74,201,1,2,1,3,1,3,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0.0,0:25,4.4,3,0.88,3,0.88,58333.333333333336
114,59,8,4,-6,36,7,10,0,1,1,1,0,0,102,14.2666666666667,1998-02-17,20182019,73,220,2,1,16,10,16,11,1,3,20,13,7,0,0,0,1,0,0,0,18,0,-1,-0.07,0:36,4.3,17,1.21,18,1.28,69375.0
115,70,11,13,-14,36,9,19,2,4,0,1,0,1,179,18.1166666666667,1993-06-15,20132014,74,207,244,266,391,504,523,643,121,159,376,158,218,55,65,77,74,0,0,0,13,1,0,0.0,0:30,2.8,14,0.66,14,0.66,291666.6666666667
116,40,1,3,5,16,1,4,0,0,0,0,0,0,44,14.05,1985-02-27,20052006,77,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,-7,-0.75,0:24,2.9,1,0.11,8,0.85,29884.833333333332
117,53,7,11,1,58,6,17,0,0,1,1,0,0,63,17.9333333333333,1989-07-12,20112012,74,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,2,-11,-0.69,1:05,6.1,7,0.44,18,1.1400000000000001,166666.66666666666
118,66,3,10,-11,41,2,12,0,0,1,1,0,1,75,18.5333333333333,1993-10-12,20132014,73,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1,-7,-0.34,0:37,3.4,8,0.39,15,0.74,233333.33333333334
119,59,4,36,-7,38,2,21,2,19,0,0,0,1,90,19.3,2000-04-13,20182019,75,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,-7,-0.37,0:38,3.3,12,0.63,19,1.0,77083.33333333333
120,36,7,12,0,4,7,14,0,5,0,0,0,0,69,15.0166666666667,1993-05-26,20132014,74,192,1,4,6,8,7,10,2,2,8,4,4,1,2,0,0,0,0,0,2,0,8,0.89,0:06,0.7,10,1.11,2,0.22,72916.66666666667
121,57,12,11,5,28,11,21,0,0,1,2,0,1,97,14.3833333333333,1994-03-23,20152016,75,209,46,44,118,95,132,105,54,29,64,32,32,1,3,13,7,0,0,0,14,0,2,0.15,0:29,3.4,16,1.17,14,1.02,187500.0
122,45,4,10,-2,8,4,13,0,0,0,1,0,0,65,13.6666666666667,1996-07-08,20172018,75,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0.49,0:10,1.3,9,0.88,4,0.39,19612.666666666668
123,46,4,7,4,37,4,11,0,0,0,0,0,0,38,11.15,1994-03-09,20172018,74,191,48,40,139,123,144,128,57,58,69,39,30,1,3,4,2,0,1,0,10,1,-3,-0.35,0:48,7.2,9,1.05,12,1.4,58333.333333333336
124,63,26,34,-7,24,19,39,7,21,0,0,3,4,197,19.55,1990-09-20,20092010,73,215,141,145,398,486,499,617,140,190,500,218,282,97,127,4,4,0,0,0,12,0,4,0.19,0:22,2.0,16,0.78,12,0.58,1000000.0
125,60,15,19,8,46,8,24,7,10,0,0,0,3,132,16.75,1986-07-05,20062007,73,205,0,0,9,3,10,4,3,1,10,7,3,1,1,0,0,0,0,0,23,0,-10,-0.6000000000000001,0:46,4.6,13,0.78,23,1.37,333333.3333333333
126,27,7,8,-6,14,6,11,1,4,0,0,0,1,51,15.7,1995-03-28,20142015,71,201,2,0,7,4,8,4,2,2,6,4,2,1,0,0,0,0,0,0,7,0,-1,-0.14,0:31,3.3,6,0.85,7,0.99,375000.0
127,55,27,29,14,30,18,37,8,17,1,2,2,4,151,19.7666666666667,1992-05-11,20142015,71,192,4,1,5,2,8,2,2,0,3,2,1,0,0,3,0,0,0,0,10,1,0,0.0,0:32,2.8,11,0.61,11,0.61,291666.6666666667
128,65,6,17,-4,20,2,17,2,3,2,3,0,0,87,13.9666666666667,1997-12-13,20182019,67,172,102,103,277,280,310,312,101,106,210,107,103,8,12,25,20,0,0,0,10,0,9,0.6000000000000001,0:18,2.2,19,1.26,10,0.66,77083.33333333333
129,61,31,25,23,28,19,35,11,20,1,1,1,5,203,18.7333333333333,1985-07-24,20032004,73,195,149,209,357,529,552,759,144,204,605,259,346,124,160,71,70,0,0,0,13,0,-4,-0.21,0:27,2.5,9,0.47,13,0.68,364583.3333333333
130,65,25,20,-4,41,14,27,11,18,0,0,1,3,155,17.1166666666667,1991-02-01,20102011,71,185,3,5,24,10,25,12,10,3,16,12,4,1,1,0,1,0,1,0,13,1,-3,-0.16,0:37,3.7,12,0.65,15,0.81,94648.16666666667
131,52,17,15,9,36,14,25,3,7,0,0,0,2,168,15.9333333333333,1987-01-01,20082009,71,189,0,0,3,2,4,2,0,0,6,4,2,1,0,0,0,0,2,0,13,0,8,0.58,0:41,4.3,23,1.67,15,1.09,441666.6666666667
132,68,24,20,-1,20,19,34,5,10,0,0,1,4,203,16.85,1992-04-24,20122013,72,198,3,2,10,4,10,4,4,2,3,3,0,0,0,0,0,0,0,0,10,0,0,0.0,0:17,1.8,10,0.52,10,0.52,270833.3333333333
133,52,9,4,-9,8,8,12,1,1,0,0,0,1,57,9.36666666666667,1995-08-14,20192020,74,180,4,0,16,14,17,14,8,10,9,5,4,1,0,0,0,0,0,0,4,0,3,0.37,0:09,1.6,7,0.86,4,0.49,75000.0
134,57,16,29,4,14,11,31,5,14,0,0,0,3,169,18.5666666666667,1997-02-25,20162017,73,208,1,1,19,11,19,11,6,8,14,12,2,0,0,0,0,0,0,0,6,0,2,0.11,0:14,1.3,8,0.45,6,0.34,510416.6666666667
135,69,11,21,-10,29,7,18,2,10,2,4,1,2,148,16.0166666666667,1996-09-13,20162017,74,201,32,24,123,77,131,92,48,25,94,51,43,3,10,5,5,0,1,0,12,0,0,0.0,0:25,2.6,13,0.71,13,0.71,187500.0
136,51,21,16,13,23,17,30,3,6,1,1,0,1,106,19.1,1992-06-09,20152016,73,211,67,46,15,13,90,70,10,13,24,13,11,1,1,74,56,0,1,0,9,0,-2,-0.12,0:27,2.4,8,0.49,10,0.62,208333.33333333334
137,59,22,21,9,29,21,38,1,5,0,0,0,1,226,16.9166666666667,1992-05-06,20122013,69,183,5,2,17,12,17,12,7,7,8,5,3,0,0,0,0,0,1,0,12,0,-1,-0.06,0:29,2.9,12,0.72,13,0.78,229166.66666666666
138,69,21,24,-4,27,16,32,3,10,2,3,0,3,164,16.5166666666667,1992-08-10,20132014,73,201,4,2,11,1,14,3,2,0,9,8,1,1,1,2,1,0,1,0,11,0,-2,-0.11,0:23,2.4,10,0.53,12,0.63,320833.3333333333
139,67,6,4,-8,47,5,9,0,0,1,1,0,0,78,12.4333333333333,1991-05-27,20142015,72,197,84,71,102,97,134,115,35,32,27,15,12,2,0,30,18,0,3,0,16,0,-3,-0.22,0:42,5.6,16,1.15,19,1.37,127083.33333333333
140,68,8,45,-10,22,5,28,3,25,0,0,1,2,126,21.8833333333333,1999-10-14,20182019,70,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0.16,0:19,1.5,15,0.6000000000000001,11,0.44,77083.33333333333
141,67,11,18,-3,42,7,18,4,11,0,0,0,2,115,14.8166666666667,1992-09-08,20102011,74,218,1,1,3,1,3,1,0,0,2,2,0,0,0,0,0,0,0,0,21,0,-4,-0.24,0:37,4.2,17,1.03,21,1.27,354166.6666666667
142,62,6,15,-5,12,4,14,1,5,1,2,0,0,86,14.6166666666667,1992-12-08,20152016,73,195,10,4,36,30,39,30,13,10,32,16,16,0,0,3,0,0,0,0,6,0,5,0.33,0:11,1.3,11,0.73,6,0.4,42026.833333333336
143,7,0,0,-1,0,0,0,0,0,0,0,0,0,2,5.88333333333333,1993-04-19,20172018,75,204,2,2,3,6,3,6,0,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0:00,0.0,0,0.0,0,0.0,58333.333333333336
144,66,11,11,-5,14,10,21,1,1,0,0,1,3,117,15.5833333333333,1979-09-15,19971998,74,215,9,5,23,23,40,36,10,9,43,21,22,12,10,5,3,0,0,0,7,0,4,0.23,0:12,1.4,11,0.64,7,0.41,58333.333333333336
145,68,9,7,-6,37,8,14,0,0,1,2,0,0,102,13.7333333333333,1987-01-21,20072008,72,192,5,4,12,13,13,15,3,2,14,5,9,0,0,1,2,1,1,0,11,0,-2,-0.13,0:32,4.0,11,0.71,13,0.84,250000.0
146,43,8,13,0,14,4,16,4,5,0,0,0,1,78,15.75,1994-11-21,20172018,70,194,1,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,7,0,4,0.35,0:19,2.1,11,0.97,7,0.62,300000.0
147,71,6,33,-18,42,6,28,0,11,0,0,0,0,186,26.0,1997-01-30,20162017,74,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,-11,-0.36,0:35,2.3,10,0.32,21,0.68,583333.3333333334
148,58,14,22,-16,12,11,24,2,10,1,2,0,1,123,18.0666666666667,1999-01-04,20172018,73,175,128,163,396,411,473,507,150,155,384,195,189,64,82,13,14,0,0,0,6,0,15,0.86,0:12,1.2,21,1.2,6,0.34,583333.3333333334
149,67,5,7,11,59,5,12,0,0,0,0,0,1,125,18.95,1997-05-28,20182019,75,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,2,-9,-0.43,0:52,4.7,11,0.52,20,0.95,122916.66666666667
150,36,6,7,3,10,6,12,0,1,0,0,1,1,49,12.75,1999-09-13,20182019,73,186,9,6,38,23,40,23,11,9,28,20,8,1,0,1,0,0,0,0,5,0,2,0.26,0:16,2.2,7,0.92,5,0.65,77083.33333333333
151,68,18,21,-11,15,14,31,3,7,1,1,2,3,132,17.2666666666667,1997-06-08,20162017,71,182,0,2,4,6,4,9,2,1,8,2,6,0,1,0,2,0,1,0,5,0,12,0.61,0:13,1.3,18,0.92,6,0.31,200000.0
152,56,7,8,11,28,4,12,0,0,3,3,0,1,52,10.8333333333333,1990-05-27,20152016,73,192,141,128,190,194,277,274,78,85,119,58,61,1,3,86,77,0,0,0,9,1,-5,-0.49,0:30,4.6,5,0.49,10,0.99,62500.0
153,71,8,7,-5,47,8,15,0,0,0,0,0,1,61,10.15,1987-01-20,20102011,74,225,2,2,24,22,28,24,5,7,36,21,15,4,2,0,0,0,3,0,14,0,-2,-0.17,0:39,6.5,15,1.25,17,1.42,114583.33333333333
154,69,17,24,25,22,12,32,4,8,1,1,0,2,128,16.1833333333333,1991-03-28,20122013,72,194,4,1,13,6,14,7,2,1,13,8,5,0,0,1,1,0,0,0,11,0,3,0.16,0:19,2.0,14,0.75,11,0.59,287083.3333333333
155,69,9,11,4,69,8,19,1,1,0,0,0,1,114,12.25,1994-09-20,20142015,72,192,31,31,56,74,69,83,15,29,46,23,23,2,1,11,8,1,3,0,22,0,-3,-0.21,1:00,8.2,23,1.63,26,1.84,158333.33333333334
156,22,1,0,-2,0,1,1,0,0,0,0,0,1,4,6.15,2000-04-11,20192020,74,196,10,7,29,34,29,34,13,15,18,6,12,0,0,0,0,0,0,0,0,0,3,1.33,0:00,0.0,3,1.33,0,0.0,66041.66666666667
157,71,6,39,10,32,3,20,3,25,0,0,0,1,177,23.3833333333333,1995-07-29,20172018,72,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,-4,-0.14,0:27,1.9,12,0.43,16,0.58,262500.0
158,27,11,15,17,12,9,24,2,2,0,0,0,0,44,17.3833333333333,1998-09-29,20172018,68,153,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,2,0.26,0:26,2.6,7,0.89,5,0.64,69375.0
159,66,15,10,0,33,14,24,0,0,1,1,0,3,109,13.5833333333333,1997-06-23,20162017,76,220,9,8,21,23,23,24,8,6,16,6,10,0,0,2,1,0,3,0,9,0,7,0.47,0:30,3.7,19,1.27,12,0.8,112500.0
160,70,16,29,3,26,10,32,3,10,3,3,0,3,157,17.95,1989-03-17,20082009,72,200,146,109,340,311,410,368,132,130,261,132,129,31,25,39,32,0,0,0,13,0,-8,-0.38,0:22,2.1,5,0.24,13,0.62,362500.0
161,49,21,15,8,12,18,30,3,6,0,0,0,5,162,17.9333333333333,1995-04-10,20152016,72,177,4,2,12,6,13,6,4,0,9,5,4,0,0,1,0,0,0,0,6,0,6,0.41,0:14,1.4,12,0.82,6,0.41,208333.33333333334
162,37,4,3,-2,16,4,6,0,0,0,1,0,0,35,11.5166666666667,1997-02-09,20182019,73,190,3,1,8,4,10,4,2,1,7,5,2,0,0,2,0,0,0,0,7,0,2,0.28,0:25,3.8,9,1.27,7,0.99,58333.333333333336
163,59,6,12,-14,111,3,11,2,5,1,2,0,0,86,12.8666666666667,1996-03-15,20172018,73,213,8,4,27,16,31,18,10,3,24,13,11,3,1,1,1,0,5,0,18,5,4,0.32,1:52,14.6,32,2.5300000000000002,28,2.21,43750.0
164,70,8,34,22,32,7,29,1,13,0,0,0,4,125,18.9,1998-02-17,20192020,71,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,-6,-0.27,0:27,2.4,10,0.45,16,0.73,77083.33333333333
165,48,4,10,2,10,4,13,0,0,0,1,0,1,46,12.6,1987-01-23,20122013,72,208,29,12,38,31,52,34,10,19,16,13,3,0,0,14,3,0,0,0,4,0,2,0.2,0:12,1.7000000000000002,6,0.6000000000000001,4,0.4,166666.66666666666
166,61,6,8,-1,13,5,12,1,1,0,1,0,0,101,18.85,1987-05-15,20102011,76,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0.0,0:12,1.1,5,0.26,5,0.26,166666.66666666666
167,65,6,5,-5,39,6,11,0,0,0,0,0,0,124,11.75,1997-06-23,20182019,73,185,2,0,6,3,6,3,1,1,5,3,2,0,0,0,0,0,3,0,12,0,0,0.0,0:36,5.1,15,1.18,15,1.18,75000.0
168,68,15,48,20,8,10,38,4,21,1,4,0,1,182,19.2,1994-09-11,20132014,71,191,3,3,23,24,27,26,10,4,33,14,19,3,2,1,0,0,0,0,4,0,1,0.05,0:07,0.6000000000000001,5,0.23,4,0.18,354166.6666666667
169,68,2,16,13,43,2,18,0,0,0,0,0,0,89,18.5166666666667,1992-01-30,20172018,76,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,-15,-0.72,0:37,3.4,5,0.24,20,0.95,166666.66666666666
170,50,3,9,-3,27,3,12,0,0,0,0,0,0,83,21.2,1990-08-16,20102011,74,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,-5,-0.28,0:32,2.6,7,0.4,12,0.68,104166.66666666667
171,9,1,0,-1,2,1,1,0,0,0,0,0,0,10,14.7666666666667,1997-08-13,20172018,73,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0:13,1.5,1,0.45,1,0.45,58333.333333333336
172,10,3,4,0,4,2,5,1,2,0,0,0,0,19,12.85,1999-08-16,20192020,75,201,10,14,42,43,43,49,14,19,35,19,16,1,6,0,0,0,0,0,2,0,2,0.93,0:24,3.1,4,1.87,2,0.93,69375.0
173,48,2,5,-6,16,2,7,0,0,0,0,0,0,37,13.7,1997-05-19,20152016,72,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.0,0:20,2.4,8,0.73,8,0.73,65625.0
174,60,14,9,-7,10,13,20,1,3,0,0,0,2,114,14.8333333333333,1999-09-05,20172018,74,206,89,52,290,183,317,198,148,72,154,80,74,26,15,1,0,0,0,0,5,0,-2,-0.13,0:10,1.1,3,0.2,5,0.34,69375.0
175,10,0,1,1,0,0,1,0,0,0,0,0,0,13,9.35,1996-02-14,20192020,76,201,8,3,17,10,17,10,3,2,11,6,5,0,0,0,0,0,0,0,0,0,1,0.64,0:00,0.0,1,0.64,0,0.0,58333.333333333336
176,56,10,10,-10,8,5,12,5,8,0,0,1,4,97,12.2666666666667,1999-06-01,20192020,72,193,2,0,9,4,9,4,3,2,6,4,2,0,0,0,0,0,0,0,4,0,0,0.0,0:08,1.2,4,0.35,4,0.35,77083.33333333333
177,71,19,34,-21,39,14,39,5,14,0,0,0,0,223,21.25,1996-07-30,20152016,73,198,220,219,493,515,648,714,177,188,558,251,307,96,138,59,61,0,1,0,16,0,9,0.36,0:32,2.6,26,1.03,17,0.68,395833.3333333333
178,22,0,1,-4,7,0,1,0,0,0,0,0,0,18,8.63333333333333,1997-03-25,20192020,73,196,19,21,52,60,56,62,21,26,31,16,15,0,1,4,1,0,1,0,1,0,1,0.32,0:19,3.7,3,0.95,2,0.63,58333.333333333336
179,61,2,9,-15,30,2,10,0,0,0,1,0,0,63,15.8833333333333,1998-09-17,20192020,71,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,-7,-0.43,0:29,3.1,7,0.43,14,0.87,77083.33333333333
180,69,22,31,-15,21,10,37,12,16,0,0,0,2,178,19.7333333333333,1995-04-05,20142015,72,215,229,270,521,660,633,850,187,252,545,217,328,82,167,30,23,0,1,0,8,0,6,0.26,0:18,1.5,15,0.66,9,0.4,291666.6666666667
181,69,18,13,18,34,14,24,4,7,0,0,0,2,184,13.4166666666667,1989-09-05,20112012,72,206,3,2,14,13,15,14,1,2,21,11,10,1,1,0,0,0,0,0,12,1,-1,-0.06,0:29,3.7,12,0.78,13,0.84,166666.66666666666
182,60,19,14,3,16,14,17,3,14,2,2,1,5,120,14.75,1996-11-17,20182019,75,220,34,32,145,146,173,172,54,49,176,85,91,23,24,5,2,0,0,0,8,0,12,0.81,0:16,1.8,20,1.36,8,0.54,166666.66666666666
183,36,6,2,-11,23,5,6,1,2,0,0,0,0,55,13.0,2000-07-06,20182019,74,201,29,21,157,116,167,125,75,47,120,63,57,10,9,0,0,0,1,0,4,1,0,0.0,0:38,4.9,6,0.77,6,0.77,77083.33333333333
184,55,11,15,-46,30,8,19,3,7,0,0,0,2,129,15.85,1994-08-06,20152016,74,188,19,5,52,39,60,43,17,21,41,24,17,8,4,0,0,0,2,0,10,0,4,0.28,0:32,3.4,16,1.1,12,0.83,100000.0
185,4,1,1,0,2,1,2,0,0,0,0,0,0,8,11.3666666666667,1997-05-23,20172018,70,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0:30,4.4,1,1.32,1,1.32,72843.75
186,51,0,4,4,18,0,4,0,0,0,0,0,0,41,14.1833333333333,1994-04-06,20182019,74,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,-5,-0.41,0:21,2.5,4,0.33,9,0.75,83333.33333333333
187,69,6,10,2,6,6,16,0,0,0,0,0,0,114,13.25,1989-04-20,20102011,72,190,55,43,70,51,83,65,14,11,25,14,11,1,1,12,13,0,0,0,3,0,3,0.2,0:05,0.7,6,0.39,3,0.2,100000.0
188,2,0,1,1,0,0,1,0,0,0,0,0,0,3,14.2166666666667,2000-02-04,20192020,74,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0:00,0.0,0,0.0,0,0.0,77083.33333333333
189,55,7,16,-7,26,6,20,1,3,0,0,1,2,75,13.1,1996-05-12,20152016,72,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0.25,0:28,3.6,16,1.33,13,1.08,133333.33333333334
190,65,11,15,24,16,8,21,1,2,2,3,1,5,73,14.3166666666667,1994-04-22,20152016,72,199,81,78,246,206,281,233,95,71,189,105,84,18,14,17,13,0,0,0,7,0,-2,-0.13,0:14,1.7000000000000002,5,0.32,7,0.45,135416.66666666666
191,44,2,8,1,37,2,10,0,0,0,0,0,0,49,17.9333333333333,1990-01-30,20082009,75,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,-8,-0.61,0:50,4.7,5,0.38,13,0.99,66666.66666666667
192,65,14,17,9,16,13,24,1,7,0,0,1,2,113,14.55,1990-07-29,20122013,68,185,58,51,159,144,180,173,54,50,140,68,72,17,28,4,1,0,0,0,8,0,-2,-0.13,0:14,1.7000000000000002,6,0.38,8,0.51,312500.0
